StudentID,CourseCode,AssessmentType,Weight,Score,DateRecorded,Remarks
S001,CS101,Midterm,0.30,92.00,2024-03-15,Excellent work
S001,CS101,Final,0.40,88.00,2024-05-20,Very good
S001,CS101,Assignment,0.20,95.00,2024-04-10,Great effort
S001,CS101,Quiz,0.10,90.00,2024-02-25,Good understanding
S001,MATH201,Midterm,0.30,85.00,2024-03-16,Good progress
S001,MATH201,Final,0.40,87.00,2024-05-21,Strong performance
S001,MATH201,Assignment,0.20,90.00,2024-04-11,Excellent
S001,MATH201,Quiz,0.10,88.00,2024-02-26,Very good
S001,ENG101,Midterm,0.30,90.00,2024-03-17,Excellent writing
S001,ENG101,Final,0.40,93.00,2024-05-22,Outstanding
S001,ENG101,Assignment,0.20,92.00,2024-04-12,Great analysis
S001,ENG101,Quiz,0.10,89.00,2024-02-27,Good comprehension
S002,CS101,Midterm,0.30,78.00,2024-03-15,Good effort
S002,CS101,Final,0.40,82.00,2024-05-20,Improved
S002,CS101,Assignment,0.20,85.00,2024-04-10,Good work
S002,CS101,Quiz,0.10,80.00,2024-02-25,Satisfactory
S002,MATH201,Midterm,0.30,92.00,2024-03-16,Excellent
S002,MATH201,Final,0.40,90.00,2024-05-21,Very strong
S002,MATH201,Assignment,0.20,94.00,2024-04-11,Outstanding
S002,MATH201,Quiz,0.10,91.00,2024-02-26,Excellent
S002,PHYS201,Midterm,0.30,88.00,2024-03-18,Very good
S002,PHYS201,Final,0.40,85.00,2024-05-23,Good understanding
S002,PHYS201,Assignment,0.20,87.00,2024-04-13,Strong work
S002,PHYS201,Quiz,0.10,89.00,2024-02-28,Excellent
S003,CS101,Midterm,0.30,95.00,2024-03-15,Outstanding
S003,CS101,Final,0.40,93.00,2024-05-20,Excellent
S003,CS101,Assignment,0.20,97.00,2024-04-10,Perfect understanding
S003,CS101,Quiz,0.10,94.00,2024-02-25,Excellent
S003,ENG101,Midterm,0.30,88.00,2024-03-17,Very good
S003,ENG101,Final,0.40,91.00,2024-05-22,Excellent
S003,ENG101,Assignment,0.20,90.00,2024-04-12,Strong analysis
S003,ENG101,Quiz,0.10,87.00,2024-02-27,Good work
S003,HIST101,Midterm,0.30,92.00,2024-03-19,Excellent research
S003,HIST101,Final,0.40,94.00,2024-05-24,Outstanding
S003,HIST101,Assignment,0.20,93.00,2024-04-14,Great insights
S003,HIST101,Quiz,0.10,91.00,2024-03-01,Very good
S004,CS101,Midterm,0.30,72.00,2024-03-15,Needs improvement
S004,CS101,Final,0.40,75.00,2024-05-20,Slight improvement
S004,CS101,Assignment,0.20,78.00,2024-04-10,Fair work
S004,CS101,Quiz,0.10,70.00,2024-02-25,Below average
S004,MATH201,Midterm,0.30,68.00,2024-03-16,Struggling
S004,MATH201,Final,0.40,70.00,2024-05-21,Minimal improvement
S004,MATH201,Assignment,0.20,72.00,2024-04-11,Needs more effort
S004,MATH201,Quiz,0.10,65.00,2024-02-26,Concerning
S004,PHYS201,Midterm,0.30,75.00,2024-03-18,Fair performance
S004,PHYS201,Final,0.40,78.00,2024-05-23,Slight improvement
S004,PHYS201,Assignment,0.20,80.00,2024-04-13,Better effort
S004,PHYS201,Quiz,0.10,73.00,2024-02-28,Fair work
S005,ENG101,Midterm,0.30,82.00,2024-03-17,Good work
S005,ENG101,Final,0.40,85.00,2024-05-22,Improved
S005,ENG101,Assignment,0.20,88.00,2024-04-12,Strong effort
S005,ENG101,Quiz,0.10,80.00,2024-02-27,Good progress
S005,HIST101,Midterm,0.30,79.00,2024-03-19,Fair analysis
S005,HIST101,Final,0.40,83.00,2024-05-24,Good improvement
S005,HIST101,Assignment,0.20,85.00,2024-04-14,Strong research
S005,HIST101,Quiz,0.10,78.00,2024-03-01,Fair work
